famille,fichier,chemin_relatif,exercice,format,taille_ko,metrique_type,metrique_valeur
Racine / divers,03-Contour-Financier-Depenses-prog-par-CA-2014-15.xlsx,03-Contour-Financier-Depenses-prog-par-CA-2014-15.xlsx,2014,xlsx,42.4,feuilles,1
Racine / divers,10-614-01.pdf,10-614-01.pdf,,pdf,227.0,,
Racine / divers,11-614-01F (1).pdf,11-614-01F (1).pdf,,pdf,644.6,,
Racine / divers,11-614-01F.pdf,11-614-01F.pdf,,pdf,644.6,,
Racine / divers,12-614-01F.pdf,12-614-01F.pdf,,pdf,706.2,,
Racine / divers,13-614-02F.pdf,13-614-02F.pdf,,pdf,495.8,,
Racine / divers,14-614-02F.pdf,14-614-02F.pdf,,pdf,1077.4,,
Racine / divers,15-614-01W.pdf,15-614-01W.pdf,,pdf,447.1,,
Racine / divers,16-614-01F.pdf,16-614-01F.pdf,,pdf,895.0,,
AS478,06_AS478-2010-11-FORMULAIRE.xls,Archives/AS478/2010-2011/06_AS478-2010-11-FORMULAIRE.xls,2010-2011,xls,1316.0,erreur,openpyxl does not support the old .xls f
AS478,06_AS478_C07_BDan2010_2011.zip,Archives/AS478/2010-2011/06_AS478_C07_BDan2010_2011.zip,2010-2011,zip,1611.0,membres,1
AS478,AS-478-Explications.pdf,Archives/AS478/2010-2011/AS-478-Explications.pdf,2010-2011,pdf,218.0,,
AS478,06_AS-478-2011-12-EXPLICATIONS.zip,Archives/AS478/2011-2012/06_AS-478-2011-12-EXPLICATIONS.zip,2011-2012,zip,399.6,membres,2
AS478,07_AS478-2011-12-FORMULAIRE.xls,Archives/AS478/2011-2012/07_AS478-2011-12-FORMULAIRE.xls,2011-2012,xls,1207.0,erreur,openpyxl does not support the old .xls f
AS478,07_AS47x_C07_BDan2011_2012.zip,Archives/AS478/2011-2012/07_AS47x_C07_BDan2011_2012.zip,2011-2012,zip,1413.9,membres,1
AS478,07_AS-478-2012-13-EXPLICATIONS.pdf,Archives/AS478/2012-2013/07_AS-478-2012-13-EXPLICATIONS.pdf,2012-2013,pdf,211.8,,
AS478,08_AS47x_C07_BDan2012_2013.zip,Archives/AS478/2012-2013/08_AS47x_C07_BDan2012_2013.zip,2012-2013,zip,1373.8,membres,1
AS478,AS-478-Formulaire_2012_2013.xls,Archives/AS478/2012-2013/AS-478-Formulaire_2012_2013.xls,2012-2013,xls,1206.5,erreur,openpyxl does not support the old .xls f
AS478,08_AS-478-2013-14-EXPLICATIONS.pdf,Archives/AS478/2013-2014/08_AS-478-2013-14-EXPLICATIONS.pdf,2013-2014,pdf,198.7,,
AS478,08_AS478-2013-14-FORMULAIRE.pdf,Archives/AS478/2013-2014/08_AS478-2013-14-FORMULAIRE.pdf,2013-2014,pdf,1624.6,,
AS478,09_AS478_C07_BDan2013_2014.zip,Archives/AS478/2013-2014/09_AS478_C07_BDan2013_2014.zip,2013-2014,zip,1354.3,membres,1
AS478,09_AS-478-2014-15-EXPLICATIONS.pdf,Archives/AS478/2014-2015/09_AS-478-2014-15-EXPLICATIONS.pdf,2014-2015,pdf,259.1,,
AS478,09_AS478-2014-15-FORMULAIRE.pdf,Archives/AS478/2014-2015/09_AS478-2014-15-FORMULAIRE.pdf,2014-2015,pdf,365.6,,
AS478,10_AS478_BD_2014_2015.zip,Archives/AS478/2014-2015/10_AS478_BD_2014_2015.zip,2014-2015,zip,1288.2,membres,1
AS478,AS478_2015-2016_11043312.pdf,Archives/AS478/2015-2016/AS478_2015-2016_11043312.pdf,2015-2016,pdf,1050.8,,
AS478,AS478_BD_2015_2016.zip,Archives/AS478/2015-2016/AS478_BD_2015_2016.zip,2015-2016,zip,1343.5,membres,1
