exercice,sous_formulaire,source,lignes_brutes,lignes_retenues,lignes_ecartees,etablissements,pages,chiffre_null,motif
2010-2011,,00_brut\AS478\06_AS478_C07_BDan2010_2011\AS47x_C07_BDan2010_2011.csv,154039,154039,0,196,48,0,ok
2011-2012,,00_brut\AS478\07_AS47x_C07_BDan2011_2012\AS47x_C07_BDan2011_2012.csv,130664,130664,0,189,46,0,ok
2012-2013,,00_brut\AS478\08_AS47x_C07_BDan2012_2013\AS47x_C07_BDan2012_2013.csv,124987,124987,0,188,45,0,ok
2013-2014,,00_brut\AS478\09_AS478_C07_BDan2013_2014\AS47x_C07_BDan2013_2014.csv,123768,123768,0,185,48,0,ok
2014-2015,,00_brut\AS478\10_AS478_BD_2014_2015\AS478_BD_2014_2015.csv,120928,120928,0,185,41,0,ok
2015-2016,,00_brut\AS478\AS478_BD_2015_2016\AS478_BD_2015_2016.csv,126406,126406,0,185,44,0,ok
2016-2017,,00_brut\AS478\AS478_BD_2016_2017\AS478_BD_2016_2017.csv,129526,129526,0,186,44,0,ok
2017-2018,,00_brut\AS478\AS478_BD_2017_2018\AS478_BD_2017_2018.csv,133575,133575,0,186,44,0,ok
2018-2019,,Archives\AS478\2018-2019\AS478_BD_2018_2019.csv,127143,127143,0,93,42,0,ok
2019-2020,,Archives\AS478\2019-2020\AS478_BD_2019_2020.csv,101863,101863,0,93,42,0,ok
2020-2021,,Archives\AS478\2020-2021\AS478_BD_2020_2021.csv,97292,97292,0,94,42,0,ok
2021-2022,,00_brut\AS478\AS478_BD_2021_2022\AS478_BD_2021_2022.csv,244065,244065,0,93,42,0,ok
2022-2023,,Archives\AS478\2022-2023\AS478_BD_2022_2023.csv,240369,240369,0,92,42,0,ok
