exercice,exercice_debut,rapport,sous_formulaire,rss,etablissement_id,etablissement_nom,page,souspage,ligne,colonne,plc,valeur_saisie,chiffre,code_cellule,source_feuille,feuille,col_index,entete,mapping
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,01,,01,01,P01L01C01,4.0,4.0,P01L01C01,P01C01,P01C01,1,Unité de vie garde ouverte,colonne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,01,,02,01,P01L02C01,1.0,1.0,P01L02C01,P01C01,P01C01,2,Unité de vie garde fermée,colonne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,01,,03,01,P01L03C01,1.0,1.0,P01L03C01,P01C01,P01C01,3,Unité de vie régulière,colonne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,01,,04,01,P01L04C01,1.0,1.0,P01L04C01,P01C01,P01C01,4,Unité de vie santé mentale,colonne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,01,,05,01,P01L05C01,0.0,0.0,P01L05C01,P01C01,P01C01,5,Foyer de groupe,colonne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,01,,06,01,P01L06C01,0.0,0.0,P01L06C01,P01C01,P01C01,6,Autres RNI,colonne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,01,,07,01,P01L07C01,133.0,133.0,P01L07C01,P01C01,P01C01,7,RTF,colonne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,01,,08,01,P01L08C01,4.0,4.0,P01L08C01,P01C01,P01C01,8,RI,colonne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,01,,09,01,P01L09C01,0.0,0.0,P01L09C01,P01C01,P01C01,9,SAHT,colonne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,01,,10,01,P01L10C01,0.0,0.0,P01L10C01,P01C01,P01C01,10,Centre de jour,colonne_fixe
2010-2011,2010,Général,AS480G,01,,CENTRE JEUNESSE DU BAS-ST-LAURENT,01,,11,01,P01L11C01,144.0,144.0,P01L11C01,P01C01,P01C01,11,Total,colonne_fixe
2010-2011,2010,Général,AS480G,02,,LE CENTRE JEUNESSE DU SAGUENAY - LAC-SAINT-JEAN,01,,01,01,P01L01C01,7.0,7.0,P01L01C01,P01C01,P01C01,1,Unité de vie garde ouverte,colonne_fixe
2010-2011,2010,Général,AS480G,02,,LE CENTRE JEUNESSE DU SAGUENAY - LAC-SAINT-JEAN,01,,02,01,P01L02C01,2.0,2.0,P01L02C01,P01C01,P01C01,2,Unité de vie garde fermée,colonne_fixe
2010-2011,2010,Général,AS480G,02,,LE CENTRE JEUNESSE DU SAGUENAY - LAC-SAINT-JEAN,01,,03,01,P01L03C01,0.0,0.0,P01L03C01,P01C01,P01C01,3,Unité de vie régulière,colonne_fixe
