exercice,exercice_debut,rapport,rss,etablissement_id,etablissement_nom,page,souspage,ligne,colonne,plc,valeur_saisie,chiffre,code_cellule,source_feuille,sous_formulaire
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,02,,1,1,P02L01C01,2.0,2.0,P02L01C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,02,,2,1,P02L02C01,0.0,0.0,P02L02C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,02,,3,1,P02L03C01,2.0,2.0,P02L03C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,02,,4,1,P02L04C01,62.0,62.0,P02L04C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,02,,5,1,P02L05C01,65.0,65.0,P02L05C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,02,,6,1,P02L06C01,127.0,127.0,P02L06C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,02,,7,1,P02L07C01,8.0,8.0,P02L07C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,03,,1,1,P03L01C01,66.0,66.0,P03L01C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,03,,2,1,P03L02C01,14.0,14.0,P03L02C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,03,,4,1,P03L04C01,6.0,6.0,P03L04C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,03,,5,1,P03L05C01,9.0,9.0,P03L05C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,03,,7,1,P03L07C01,0.0,0.0,P03L07C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,03,,8,1,P03L08C01,7.0,7.0,P03L08C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,03,,9,1,P03L09C01,36.0,36.0,P03L09C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,03,,10,1,P03L10C01,7.0,7.0,P03L10C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,03,,11,1,P03L11C01,0.0,0.0,P03L11C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,03,,12,1,P03L12C01,0.0,0.0,P03L12C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,03,,13,1,P03L13C01,5.0,5.0,P03L13C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,03,,14,1,P03L14C01,5.0,5.0,P03L14C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,04,,1,1,P04L01C01,48.0,48.0,P04L01C01,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,04,,1,2,P04L01C02,4.0,4.0,P04L01C02,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,04,,1,3,P04L01C03,2.0,2.0,P04L01C03,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
2014-2015,2014,AS480A,07,11042314,CJ de l'Outaouais,04,,1,4,P04L01C04,0.0,0.0,P04L01C04,00_brut\AS480\BD-AS-480A-Autochtones-2014-15\AS480A_BD_2014_2015.csv,AS480A
