exercice,fichier,feuille,page,type_onglet,cellules_source,lignes_ecrites,statut
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P01C01,01,colonne_fixe,187,187,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P01C02,01,colonne_fixe,187,187,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P01L12,01,ligne_fixe,68,68,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,Page-02,02,pleine,0,0,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P02,02,pleine,165,165,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P03L01À09,03,plage,153,153,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P03L10À14,03,plage,85,85,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P04L01,04,ligne_fixe,119,119,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P04L02,04,ligne_fixe,119,119,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P04L03,04,ligne_fixe,119,119,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P04L04,04,ligne_fixe,119,119,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P04L05,04,ligne_fixe,119,119,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P04L06,04,ligne_fixe,119,119,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P04L07,04,ligne_fixe,119,119,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P04L08,04,ligne_fixe,91,91,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P04L09,04,ligne_fixe,119,119,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P04L10,04,ligne_fixe,119,119,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P04L11,04,ligne_fixe,119,119,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P04L12,04,ligne_fixe,119,119,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P04L13,04,ligne_fixe,119,119,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P04L14,04,ligne_fixe,119,119,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P05L01,05,ligne_fixe,136,136,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P05L02,05,ligne_fixe,136,136,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P05L03,05,ligne_fixe,136,136,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P05L04,05,ligne_fixe,136,136,ok
2010-2011,AS-480-CJ-general_autochtones-2010-2011-BD.xls,P05L05,05,ligne_fixe,136,136,ok
