exercice,exercice_debut,rapport,rss,etablissement_id,etablissement_nom,page,souspage,ligne,colonne,plc,valeur_saisie,chiffre,code_cellule,source_feuille
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,15,,5,4,P15L05C04,0.0,0.0,P15L05C04,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,14,,3,1,P14L03C01,0.0,0.0,P14L03C01,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,14,,3,2,P14L03C02,0.0,0.0,P14L03C02,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,14,,3,3,P14L03C03,0.0,0.0,P14L03C03,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,14,,3,4,P14L03C04,0.0,0.0,P14L03C04,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,14,,3,5,P14L03C05,0.0,0.0,P14L03C05,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,14,,3,6,P14L03C06,0.0,0.0,P14L03C06,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,14,,5,1,P14L05C01,0.0,0.0,P14L05C01,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,14,,5,2,P14L05C02,0.0,0.0,P14L05C02,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,14,,5,3,P14L05C03,0.0,0.0,P14L05C03,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,14,,5,4,P14L05C04,0.0,0.0,P14L05C04,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,14,,5,5,P14L05C05,0.0,0.0,P14L05C05,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,14,,5,6,P14L05C06,0.0,0.0,P14L05C06,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,15,,5,1,P15L05C01,0.0,0.0,P15L05C01,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,14,,1,6,P14L01C06,0.0,0.0,P14L01C06,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,15,,1,4,P15L01C04,0.0,0.0,P15L01C04,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,15,,3,5,P15L03C05,0.0,0.0,P15L03C05,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,15,,3,4,P15L03C04,0.0,0.0,P15L03C04,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,15,,3,3,P15L03C03,0.0,0.0,P15L03C03,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,15,,3,2,P15L03C02,0.0,0.0,P15L03C02,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,15,,3,1,P15L03C01,0.0,0.0,P15L03C01,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,15,,5,2,P15L05C02,0.0,0.0,P15L05C02,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
2011-2012,2011,AS481,08,16366114,CENTRE NORMAND,15,,1,5,P15L01C05,0.0,0.0,P15L01C05,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv
