exercice,source,lignes_brutes,lignes_retenues,lignes_ecartees,etablissements,pages,chiffre_null,motif
2010-2011,00_brut\AS484\AS-484-2010-11-BD\AS484_S16_BDan2010_2011.csv,21748,21748,0,22,49,0,ok
2011-2012,Archives\AS484\2011-2012\AS-484-2011-12-BD.csv,19657,19657,0,22,46,0,ok
2012-2013,Archives\AS484\2012-2013\AS-484-2012-13-BD.csv,16798,16798,0,22,28,0,ok
2013-2014,00_brut\AS484\AS-484-2013-14-BD\AS484_S16_BDan2013_2014.csv,69868,69868,0,22,48,0,ok
2014-2015,00_brut\AS484\AS-484-2014-15-BD\AS484_BD_2014_2015.csv,21366,21366,0,22,29,0,ok
2015-2016,00_brut\AS484\AS484_BD_2015_2016\AS484_BD_2015_2016.csv,29634,29634,0,22,26,0,ok
2016-2017,00_brut\AS484\AS484_BD_2016_2017\AS484_BD_2016_2017.csv,29304,29304,0,23,26,0,ok
2017-2018,00_brut\AS484\AS484_BD_2017-2018\AS484_BD_2017_2018.csv,27842,27842,0,22,26,0,ok
2018-2019,Archives\AS484\2018-2019\AS484_BD_2018_2019.csv,27658,27658,0,19,26,0,ok
2019-2020,Archives\AS484\2019-2020\AS484_BD_2019_2020.csv,29083,29083,0,19,26,0,ok
2020-2021,Archives\AS484\2020-2021\AS484_BD_2020_2021.csv,30359,30359,0,19,26,0,ok
2021-2022,Archives\AS484\2021-2022\AS484_BD_2021_2022.csv,28696,28696,0,18,26,0,ok
2022-2023,Archives\AS484\2022-2023\AS484_BD_2022_2023.csv,29245,29245,0,19,26,0,ok
