exercice,feuille,lignes_brutes,lignes_retenues,etablissements,regions_rss,pages,lignes_ecartees,chiffre_null
2010-2011,2010-2011,40938,40938,27,15,28,0,0
2011-2012,2011-2012,34696,34696,24,15,27,0,0
2012-2013,2012-2013,32825,32825,24,15,27,0,0
2013-2014,2013-2014,25261,25261,24,15,25,0,0
2014-2015,2014-2015,26605,26605,24,15,25,0,0
2015-2016,2015-2016,29888,29888,24,15,23,0,0
2016-2017,2016-2017,29568,29568,23,15,22,0,0
2017-2018,2017-2018,28396,28396,23,15,22,0,0
2018-2019,2018-2019,24777,24777,19,15,22,0,0
2019-2020,2019-2020,26117,26117,19,15,21,0,0
2020-2021,2020-2021,23869,23869,19,15,21,0,0
2021-2022,2021-2022,24519,24519,19,15,19,0,0
2022-2023,2022-2023,23987,23987,19,15,19,0,0
