jeu,exercice,centre_activites_code,centre_activites,programme,montant
depenses_par_activites,2013-2014,8001,"Accueil, évaluation et orientation - Déficience intellectuelle et TED",Déficience intellectuelle et TSA,4485752.0
depenses_par_activites,2013-2014,7107,"Adaptation et soutien à la personne, à la famille et aux proches - Jeunes multiproblématiques",Déficience intellectuelle et TSA,355060.0
depenses_par_activites,2013-2014,6531,Aide à domicile régulière,Déficience intellectuelle et TSA,10910699.07
depenses_par_activites,2013-2014,7011,Atelier de travail - Déficience intellectuelle et TED,Déficience intellectuelle et TSA,7225291.1
depenses_par_activites,2013-2014,7999,Autres activités spéciales,Déficience intellectuelle et TSA,853982.0
depenses_par_activites,2013-2014,5546,Autres ressources - Déficience intellectuelle et TED,Déficience intellectuelle et TSA,15108153.0
depenses_par_activites,2013-2014,,Crédits des organismes communautaires,Déficience intellectuelle et TSA,26685203.0
depenses_par_activites,2013-2014,7392,Déplacement des personnes présentant une déficience intellectuelle,Déficience intellectuelle et TSA,188130.0
depenses_par_activites,2013-2014,6430,Encadrement des ressources non institutionnelles (RNI),Déficience intellectuelle et TSA,17900164.2
depenses_par_activites,2013-2014,6370,Enseignement scolaire,Déficience intellectuelle et TSA,1888.0
depenses_par_activites,2013-2014,7161,Ergothérapie à domicile,Déficience intellectuelle et TSA,893233.12
depenses_par_activites,2013-2014,5526,Familles d'accueil - Déficience intellectuelle et TED,Déficience intellectuelle et TSA,9900034.0
depenses_par_activites,2013-2014,7152,Gestion et soutien aux autres programmes,Déficience intellectuelle et TSA,3079923.55
depenses_par_activites,2013-2014,7151,Gestion et soutien des services à domicile,Déficience intellectuelle et TSA,3622587.86
depenses_par_activites,2013-2014,6945,Internat - Déficience intellectuelle et TED,Déficience intellectuelle et TSA,23901584.0
depenses_par_activites,2013-2014,7031,Intégration à l'emploi - Déficience intellectuelle et TED,Déficience intellectuelle et TSA,346416.0
depenses_par_activites,2013-2014,6800,Pharmacie,Déficience intellectuelle et TSA,141278.0
depenses_par_activites,2013-2014,7162,Physiothérapie à domicile,Déficience intellectuelle et TSA,52229.96
depenses_par_activites,2013-2014,7163,Prêt d'équipement aux usagers des services à domicile,Déficience intellectuelle et TSA,92094.76
depenses_par_activites,2013-2014,5516,Ressources intermédiaires - Déficience intellectuelle et TED,Déficience intellectuelle et TSA,212755333.0
depenses_par_activites,2013-2014,7041,Ressources résidentielles - Assistance résidentielle continue (déficience intellectuelle et TED),Déficience intellectuelle et TSA,83765674.93
depenses_par_activites,2013-2014,7051,Ressources résidentielles avec allocations pour assistance continue - Déficience intellectuelle et TED,Déficience intellectuelle et TSA,868539.0
depenses_par_activites,2013-2014,5536,Résidences d'accueil - Déficience intellectuelle et TED,Déficience intellectuelle et TSA,126570450.0
depenses_par_activites,2013-2014,7101,Services aux usagers en milieu naturel - Déficience intellectuelle et TED,Déficience intellectuelle et TSA,20974648.0
depenses_par_activites,2013-2014,7001,Services d'adaptation et de réadaptation en contexte d'intégration communautaire - Déficience intellectuelle et TED,Déficience intellectuelle et TSA,27255330.89
depenses_par_activites,2013-2014,8050,Services d'adaptation et de réadaptation à la personne - Déficience intellectuelle et TED,Déficience intellectuelle et TSA,276577441.0
depenses_par_activites,2013-2014,6910,Services d'assistance éducative spécialisée à la famille et aux proches - Déficience intellectuelle et TED,Déficience intellectuelle et TSA,173497.0
depenses_par_activites,2013-2014,6920,Services de soutien spécialisé aux partenaires - Déficience intellectuelle et TED,Déficience intellectuelle et TSA,42221.0
depenses_par_activites,2013-2014,6561,Services psychosociaux à domicile,Déficience intellectuelle et TSA,12105234.41
depenses_par_activites,2013-2014,6178,Soins infirmiers à domicile réguliers (hors-territoire),Déficience intellectuelle et TSA,1857.89
depenses_par_activites,2013-2014,6173,Soins infirmiers à domicile réguliers (non répartis),Déficience intellectuelle et TSA,2025631.16
depenses_par_activites,2013-2014,7083,Soutien aux familles de personnes ayant un trouble envahissant du développement (TED) - Allocations,Déficience intellectuelle et TSA,10070150.0
depenses_par_activites,2013-2014,7082,Soutien aux familles de personnes ayant une déficience intellectuelle,Déficience intellectuelle et TSA,11230370.0
depenses_par_activites,2013-2014,7180,Soutien aux programmes - CRDI,Déficience intellectuelle et TSA,49917203.97
depenses_par_activites,2013-2014,5556,Supervision et suivi des usagers en RNI - Déficience intellectuelle et TED,Déficience intellectuelle et TSA,20944.0
