fichier,exercice,statut,n_postes,n_centres_activites,n_lignes_long,somme_montants_postes,somme_colonne_total_source,valeurs_non_numeriques
2013-2014.xlsx,2013-2014,OK,1,291,38,976067909.37,20613609363.25,0
2014-2015.xlsx,2014-2015,OK,1,292,38,1000467309.85,21020331183.63,0
2015-2016.xlsx,2015-2016,OK,1,311,38,996615527.55,21231149096.0,0
2016-2017.xlsx,2016-2017,OK,8,305,284,15897733286.58,21856294314.35,0
2017-2018.xlsx,2017-2018,OK,8,307,289,16607170667.05,22944443746.04,0
2018-2019.xlsx,2018-2019,OK,12,305,434,24315766875.0,24315766875.0,0
2019-2020.xlsx,2019-2020,OK,12,307,439,26189172060.43,26189172060.43,0
2020-2021.xlsx,2020-2021,OK,12,311,437,26366882938.0,26366882938.0,0
2021-2022.xlsx,2021-2022,OK,12,310,438,29797147972.46,29797147972.46,0
2022-2023.xlsx,2022-2023,OK,12,319,459,35602676041.85,35602676041.85,0
2023-2024.xlsx,2023-2024,OK,12,364,507,37158467287.97,37158467287.97,0
