jeu,exercice,rss,region_nom,programme,montant
depenses_par_region,2013-2014,1,Bas-Saint-Laurent,Administration,37223372.0
depenses_par_region,2013-2014,1,Bas-Saint-Laurent,Déficience intellectuelle et TSA,31940548.65
depenses_par_region,2013-2014,1,Bas-Saint-Laurent,Déficience physique,19347997.2
depenses_par_region,2013-2014,1,Bas-Saint-Laurent,Dépendances,2297798.0
depenses_par_region,2013-2014,1,Bas-Saint-Laurent,Gestion des bâtiments,42403893.0
depenses_par_region,2013-2014,1,Bas-Saint-Laurent,Jeunes en difficulté,32572382.33
depenses_par_region,2013-2014,1,Bas-Saint-Laurent,Santé mentale,31983996.26
depenses_par_region,2013-2014,1,Bas-Saint-Laurent,Santé physique,205611725.8
depenses_par_region,2013-2014,1,Bas-Saint-Laurent,Santé publique,10306710.83
depenses_par_region,2013-2014,1,Bas-Saint-Laurent,Services généraux,25849075.37
depenses_par_region,2013-2014,1,Bas-Saint-Laurent,Soutien aux services,44565657.0
depenses_par_region,2013-2014,1,Bas-Saint-Laurent,Soutien à l'autonomie des PA,101125448.57
depenses_par_region,2013-2014,2,Saguenay–Lac-Saint-Jean,Administration,45744737.0
depenses_par_region,2013-2014,2,Saguenay–Lac-Saint-Jean,Déficience intellectuelle et TSA,45720918.02
depenses_par_region,2013-2014,2,Saguenay–Lac-Saint-Jean,Déficience physique,26202645.07
depenses_par_region,2013-2014,2,Saguenay–Lac-Saint-Jean,Dépendances,5219957.51
depenses_par_region,2013-2014,2,Saguenay–Lac-Saint-Jean,Gestion des bâtiments,52652287.0
depenses_par_region,2013-2014,2,Saguenay–Lac-Saint-Jean,Jeunes en difficulté,47194103.52
depenses_par_region,2013-2014,2,Saguenay–Lac-Saint-Jean,Santé mentale,44179467.24
depenses_par_region,2013-2014,2,Saguenay–Lac-Saint-Jean,Santé physique,263491403.55
depenses_par_region,2013-2014,2,Saguenay–Lac-Saint-Jean,Santé publique,14625526.52
depenses_par_region,2013-2014,2,Saguenay–Lac-Saint-Jean,Services généraux,30292723.75
depenses_par_region,2013-2014,2,Saguenay–Lac-Saint-Jean,Soutien aux services,58023844.0
depenses_par_region,2013-2014,2,Saguenay–Lac-Saint-Jean,Soutien à l'autonomie des PA,105793183.83
depenses_par_region,2013-2014,3,Capitale-Nationale,Administration,140058395.0
depenses_par_region,2013-2014,3,Capitale-Nationale,Déficience intellectuelle et TSA,94617391.52
depenses_par_region,2013-2014,3,Capitale-Nationale,Déficience physique,80113498.22
depenses_par_region,2013-2014,3,Capitale-Nationale,Dépendances,10949796.08
depenses_par_region,2013-2014,3,Capitale-Nationale,Gestion des bâtiments,195702303.0
depenses_par_region,2013-2014,3,Capitale-Nationale,Jeunes en difficulté,92268436.08
depenses_par_region,2013-2014,3,Capitale-Nationale,Santé mentale,158689606.7
depenses_par_region,2013-2014,3,Capitale-Nationale,Santé physique,941997600.8
depenses_par_region,2013-2014,3,Capitale-Nationale,Santé publique,26839580.48
depenses_par_region,2013-2014,3,Capitale-Nationale,Services généraux,74424114.13
depenses_par_region,2013-2014,3,Capitale-Nationale,Soutien aux services,188268109.0
depenses_par_region,2013-2014,3,Capitale-Nationale,Soutien à l'autonomie des PA,293770943.01
depenses_par_region,2013-2014,4,Mauricie et Centre-du-Québec,Administration,75447938.0
depenses_par_region,2013-2014,4,Mauricie et Centre-du-Québec,Déficience intellectuelle et TSA,69131992.81
depenses_par_region,2013-2014,4,Mauricie et Centre-du-Québec,Déficience physique,40441742.04
depenses_par_region,2013-2014,4,Mauricie et Centre-du-Québec,Dépendances,9697120.0
depenses_par_region,2013-2014,4,Mauricie et Centre-du-Québec,Gestion des bâtiments,88644576.0
depenses_par_region,2013-2014,4,Mauricie et Centre-du-Québec,Jeunes en difficulté,78657883.77
depenses_par_region,2013-2014,4,Mauricie et Centre-du-Québec,Santé mentale,70106705.58
depenses_par_region,2013-2014,4,Mauricie et Centre-du-Québec,Santé physique,384234886.3
depenses_par_region,2013-2014,4,Mauricie et Centre-du-Québec,Santé publique,26220075.21
depenses_par_region,2013-2014,4,Mauricie et Centre-du-Québec,Services généraux,51040256.58
depenses_par_region,2013-2014,4,Mauricie et Centre-du-Québec,Soutien aux services,94452435.0
depenses_par_region,2013-2014,4,Mauricie et Centre-du-Québec,Soutien à l'autonomie des PA,241270605.7
depenses_par_region,2013-2014,5,Estrie,Administration,67566270.52
depenses_par_region,2013-2014,5,Estrie,Déficience intellectuelle et TSA,33543423.04
depenses_par_region,2013-2014,5,Estrie,Déficience physique,27354574.61
depenses_par_region,2013-2014,5,Estrie,Dépendances,3437599.0
depenses_par_region,2013-2014,5,Estrie,Gestion des bâtiments,73385061.04
depenses_par_region,2013-2014,5,Estrie,Jeunes en difficulté,50926260.99
depenses_par_region,2013-2014,5,Estrie,Santé mentale,44051037.56
depenses_par_region,2013-2014,5,Estrie,Santé physique,344053425.63
depenses_par_region,2013-2014,5,Estrie,Santé publique,15104390.86
