fichier,exercice,statut,n_postes,n_regions,n_lignes_long,somme_montants,ecart_total_vs_grand_total,valeurs_non_numeriques
Depenses-par-programme-et-par-region-2013-2014.xlsx,2013-2014,OK,12,18,216,20613609363.25,0.0,0
04-Contour-Financier-Depenses-prog-Regions-2014-15.xlsx,2014-2015,OK,12,18,216,21020331183.63,0.0,0
Depenses_par_programme_et_par_regions_1516.xlsx,2015-2016,OK,12,18,216,21231149096.0,0.0,0
depenses-par-programme-et-par-region-1617.xlsx,2016-2017,OK,12,18,216,21856294314.35,0.0,0
depenses-par-programme-et-par-region-1718.xlsx,2017-2018,OK,12,18,216,22944443746.04,0.0,0
depenses-par-programme-et-par-region-1819.xlsx,2018-2019,OK,12,18,216,24315766875.0,0.0,0
depenses-par-programme-et-par-region-1920.xlsx,2019-2020,OK,12,18,216,26189172060.43,0.0,0
depenses-par-programme-et-par-region-2021.xlsx,2020-2021,OK,12,18,216,26366882938.0,0.0,0
depenses-par-programme-et-par-region-2022.xlsx,2021-2022,OK,12,18,215,29797147972.46,0.0,0
depenses-par-programme-et-par-region-2023.xlsx,2022-2023,OK,12,18,216,35602676041.85,0.0,0
