fichier,exercice,statut,n_postes,n_regions,n_lignes_long,somme_montants,ecart_total_vs_grand_total,valeurs_non_numeriques
Depenses-de-services-a-domicile-par-programme-et-par-region-2013-2014.xlsx,2013-2014,MAQUETTE ANCIENNE (écartée),,,,,,
Depenses_de_services_a_domicile_par_programme_et_par_region_1516.xlsx,,EXERCICE ILLISIBLE (feuille),,,,,,
depenses-de-services-a-domicile-par-programme-et-par-region-1617.xlsx,2016-2017,OK,7.0,18.0,126.0,1392053890.71,0.0,0.0
depenses-de-services-a-domicile-par-programme-et-par-region-1718.xlsx,2017-2018,OK,7.0,18.0,126.0,1525163863.6,0.0,0.0
depenses-de-services-a-domicile-par-programme-et-par-region-1819.xlsx,2018-2019,OK,7.0,18.0,126.0,1680933454.47,0.0,0.0
depenses-de-services-a-domicile-par-programme-et-par-region-1920.xlsx,2019-2020,OK,7.0,18.0,126.0,1898573419.66,0.0,0.0
depenses-de-services-a-domicile-par-programme-et-par-region-2021.xlsx,2020-2021,OK,7.0,18.0,126.0,2074008315.45,0.0,0.0
depenses-de-services-a-domicile-par-programme-et-par-region-2022.xlsx,2021-2022,OK,7.0,18.0,108.0,2373859494.48,0.0,0.0
depenses-services-a-domicile-par-programme-et-par-region-2023.xlsx,2022-2023,OK,7.0,18.0,126.0,2411270851.51,0.0,0.0
depenses-services-a-domicile-par-programme-et-par-region-2324.xlsx,2023-2024,OK,7.0,18.0,107.0,3280356444.45,0.0,0.0
