jeu,exercice,epoque,deficience,groupe_age,est_total,rss,rss_nom,code_plc,effectif
effectifs_population_historique,2010-2011,ancien,DI,0 à 4 ans,False,1,Bas-Saint-Laurent,P04AL08C01,35
effectifs_population_historique,2010-2011,ancien,DI,18 à 21 ans,False,1,Bas-Saint-Laurent,P04AL08C03,51
effectifs_population_historique,2010-2011,ancien,DI,22 à 44 ans,False,1,Bas-Saint-Laurent,P04AL08C04,263
effectifs_population_historique,2010-2011,ancien,DI,45 à 64 ans,False,1,Bas-Saint-Laurent,P04AL08C05,312
effectifs_population_historique,2010-2011,ancien,DI,5 à 17 ans,False,1,Bas-Saint-Laurent,P04AL08C02,144
effectifs_population_historique,2010-2011,ancien,DI,65 ans et plus,False,1,Bas-Saint-Laurent,P04AL08C06,47
effectifs_population_historique,2010-2011,ancien,DI,Total,True,1,Bas-Saint-Laurent,P04AL08C07,852
effectifs_population_historique,2010-2011,ancien,DI,0 à 4 ans,False,2,Saguenay–Lac-Saint-Jean,P04AL08C01,85
effectifs_population_historique,2010-2011,ancien,DI,18 à 21 ans,False,2,Saguenay–Lac-Saint-Jean,P04AL08C03,80
effectifs_population_historique,2010-2011,ancien,DI,22 à 44 ans,False,2,Saguenay–Lac-Saint-Jean,P04AL08C04,445
effectifs_population_historique,2010-2011,ancien,DI,45 à 64 ans,False,2,Saguenay–Lac-Saint-Jean,P04AL08C05,421
effectifs_population_historique,2010-2011,ancien,DI,5 à 17 ans,False,2,Saguenay–Lac-Saint-Jean,P04AL08C02,232
effectifs_population_historique,2010-2011,ancien,DI,65 ans et plus,False,2,Saguenay–Lac-Saint-Jean,P04AL08C06,91
effectifs_population_historique,2010-2011,ancien,DI,Total,True,2,Saguenay–Lac-Saint-Jean,P04AL08C07,1354
effectifs_population_historique,2010-2011,ancien,DI,0 à 4 ans,False,3,Capitale-Nationale,P04AL08C01,63
effectifs_population_historique,2010-2011,ancien,DI,18 à 21 ans,False,3,Capitale-Nationale,P04AL08C03,120
effectifs_population_historique,2010-2011,ancien,DI,22 à 44 ans,False,3,Capitale-Nationale,P04AL08C04,774
effectifs_population_historique,2010-2011,ancien,DI,45 à 64 ans,False,3,Capitale-Nationale,P04AL08C05,836
effectifs_population_historique,2010-2011,ancien,DI,5 à 17 ans,False,3,Capitale-Nationale,P04AL08C02,295
effectifs_population_historique,2010-2011,ancien,DI,65 ans et plus,False,3,Capitale-Nationale,P04AL08C06,267
effectifs_population_historique,2010-2011,ancien,DI,Total,True,3,Capitale-Nationale,P04AL08C07,2355
effectifs_population_historique,2010-2011,ancien,DI,0 à 4 ans,False,4,Mauricie et Centre-du-Québec,P04AL08C01,60
effectifs_population_historique,2010-2011,ancien,DI,18 à 21 ans,False,4,Mauricie et Centre-du-Québec,P04AL08C03,115
effectifs_population_historique,2010-2011,ancien,DI,22 à 44 ans,False,4,Mauricie et Centre-du-Québec,P04AL08C04,596
effectifs_population_historique,2010-2011,ancien,DI,45 à 64 ans,False,4,Mauricie et Centre-du-Québec,P04AL08C05,623
effectifs_population_historique,2010-2011,ancien,DI,5 à 17 ans,False,4,Mauricie et Centre-du-Québec,P04AL08C02,235
effectifs_population_historique,2010-2011,ancien,DI,65 ans et plus,False,4,Mauricie et Centre-du-Québec,P04AL08C06,163
effectifs_population_historique,2010-2011,ancien,DI,Total,True,4,Mauricie et Centre-du-Québec,P04AL08C07,1792
effectifs_population_historique,2010-2011,ancien,DI,0 à 4 ans,False,5,Estrie,P04AL08C01,16
effectifs_population_historique,2010-2011,ancien,DI,18 à 21 ans,False,5,Estrie,P04AL08C03,60
effectifs_population_historique,2010-2011,ancien,DI,22 à 44 ans,False,5,Estrie,P04AL08C04,377
effectifs_population_historique,2010-2011,ancien,DI,45 à 64 ans,False,5,Estrie,P04AL08C05,373
effectifs_population_historique,2010-2011,ancien,DI,5 à 17 ans,False,5,Estrie,P04AL08C02,155
effectifs_population_historique,2010-2011,ancien,DI,65 ans et plus,False,5,Estrie,P04AL08C06,55
effectifs_population_historique,2010-2011,ancien,DI,Total,True,5,Estrie,P04AL08C07,1036
effectifs_population_historique,2010-2011,ancien,DI,0 à 4 ans,False,6,Montréal,P04AL08C01,247
effectifs_population_historique,2010-2011,ancien,DI,18 à 21 ans,False,6,Montréal,P04AL08C03,326
effectifs_population_historique,2010-2011,ancien,DI,22 à 44 ans,False,6,Montréal,P04AL08C04,1974
effectifs_population_historique,2010-2011,ancien,DI,45 à 64 ans,False,6,Montréal,P04AL08C05,1761
effectifs_population_historique,2010-2011,ancien,DI,5 à 17 ans,False,6,Montréal,P04AL08C02,882
effectifs_population_historique,2010-2011,ancien,DI,65 ans et plus,False,6,Montréal,P04AL08C06,193
effectifs_population_historique,2010-2011,ancien,DI,Total,True,6,Montréal,P04AL08C07,5383
effectifs_population_historique,2010-2011,ancien,DI,0 à 4 ans,False,7,Outaouais,P04AL08C01,34
effectifs_population_historique,2010-2011,ancien,DI,18 à 21 ans,False,7,Outaouais,P04AL08C03,73
effectifs_population_historique,2010-2011,ancien,DI,22 à 44 ans,False,7,Outaouais,P04AL08C04,308
effectifs_population_historique,2010-2011,ancien,DI,45 à 64 ans,False,7,Outaouais,P04AL08C05,225
effectifs_population_historique,2010-2011,ancien,DI,5 à 17 ans,False,7,Outaouais,P04AL08C02,220
effectifs_population_historique,2010-2011,ancien,DI,65 ans et plus,False,7,Outaouais,P04AL08C06,30
effectifs_population_historique,2010-2011,ancien,DI,Total,True,7,Outaouais,P04AL08C07,890
effectifs_population_historique,2010-2011,ancien,DI,0 à 4 ans,False,8,Abitibi-Témiscamingue,P04AL08C01,31
effectifs_population_historique,2010-2011,ancien,DI,18 à 21 ans,False,8,Abitibi-Témiscamingue,P04AL08C03,46
effectifs_population_historique,2010-2011,ancien,DI,22 à 44 ans,False,8,Abitibi-Témiscamingue,P04AL08C04,214
effectifs_population_historique,2010-2011,ancien,DI,45 à 64 ans,False,8,Abitibi-Témiscamingue,P04AL08C05,137
effectifs_population_historique,2010-2011,ancien,DI,5 à 17 ans,False,8,Abitibi-Témiscamingue,P04AL08C02,156
effectifs_population_historique,2010-2011,ancien,DI,65 ans et plus,False,8,Abitibi-Témiscamingue,P04AL08C06,18
effectifs_population_historique,2010-2011,ancien,DI,Total,True,8,Abitibi-Témiscamingue,P04AL08C07,602
effectifs_population_historique,2010-2011,ancien,DI,0 à 4 ans,False,9,Côte-Nord,P04AL08C01,38
effectifs_population_historique,2010-2011,ancien,DI,18 à 21 ans,False,9,Côte-Nord,P04AL08C03,18
effectifs_population_historique,2010-2011,ancien,DI,22 à 44 ans,False,9,Côte-Nord,P04AL08C04,99
effectifs_population_historique,2010-2011,ancien,DI,45 à 64 ans,False,9,Côte-Nord,P04AL08C05,111
effectifs_population_historique,2010-2011,ancien,DI,5 à 17 ans,False,9,Côte-Nord,P04AL08C02,37
effectifs_population_historique,2010-2011,ancien,DI,65 ans et plus,False,9,Côte-Nord,P04AL08C06,7
effectifs_population_historique,2010-2011,ancien,DI,Total,True,9,Côte-Nord,P04AL08C07,310
effectifs_population_historique,2010-2011,ancien,DI,0 à 4 ans,False,11,Gaspésie–Îles-de-la-Madeleine,P04AL08C01,6
effectifs_population_historique,2010-2011,ancien,DI,18 à 21 ans,False,11,Gaspésie–Îles-de-la-Madeleine,P04AL08C03,28
effectifs_population_historique,2010-2011,ancien,DI,22 à 44 ans,False,11,Gaspésie–Îles-de-la-Madeleine,P04AL08C04,138
effectifs_population_historique,2010-2011,ancien,DI,45 à 64 ans,False,11,Gaspésie–Îles-de-la-Madeleine,P04AL08C05,161
effectifs_population_historique,2010-2011,ancien,DI,5 à 17 ans,False,11,Gaspésie–Îles-de-la-Madeleine,P04AL08C02,58
effectifs_population_historique,2010-2011,ancien,DI,65 ans et plus,False,11,Gaspésie–Îles-de-la-Madeleine,P04AL08C06,47
effectifs_population_historique,2010-2011,ancien,DI,Total,True,11,Gaspésie–Îles-de-la-Madeleine,P04AL08C07,438
effectifs_population_historique,2010-2011,ancien,DI,0 à 4 ans,False,12,Chaudière-Appalaches,P04AL08C01,51
effectifs_population_historique,2010-2011,ancien,DI,18 à 21 ans,False,12,Chaudière-Appalaches,P04AL08C03,83
effectifs_population_historique,2010-2011,ancien,DI,22 à 44 ans,False,12,Chaudière-Appalaches,P04AL08C04,496
effectifs_population_historique,2010-2011,ancien,DI,45 à 64 ans,False,12,Chaudière-Appalaches,P04AL08C05,499
effectifs_population_historique,2010-2011,ancien,DI,5 à 17 ans,False,12,Chaudière-Appalaches,P04AL08C02,160
effectifs_population_historique,2010-2011,ancien,DI,65 ans et plus,False,12,Chaudière-Appalaches,P04AL08C06,93
effectifs_population_historique,2010-2011,ancien,DI,Total,True,12,Chaudière-Appalaches,P04AL08C07,1382
effectifs_population_historique,2010-2011,ancien,DI,0 à 4 ans,False,13,Laval,P04AL08C01,138
effectifs_population_historique,2010-2011,ancien,DI,18 à 21 ans,False,13,Laval,P04AL08C03,103
effectifs_population_historique,2010-2011,ancien,DI,22 à 44 ans,False,13,Laval,P04AL08C04,361
effectifs_population_historique,2010-2011,ancien,DI,45 à 64 ans,False,13,Laval,P04AL08C05,232
effectifs_population_historique,2010-2011,ancien,DI,5 à 17 ans,False,13,Laval,P04AL08C02,208
effectifs_population_historique,2010-2011,ancien,DI,65 ans et plus,False,13,Laval,P04AL08C06,30
effectifs_population_historique,2010-2011,ancien,DI,Total,True,13,Laval,P04AL08C07,1072
effectifs_population_historique,2010-2011,ancien,DI,0 à 4 ans,False,14,Lanaudière,P04AL08C01,46
effectifs_population_historique,2010-2011,ancien,DI,18 à 21 ans,False,14,Lanaudière,P04AL08C03,133
effectifs_population_historique,2010-2011,ancien,DI,22 à 44 ans,False,14,Lanaudière,P04AL08C04,366
effectifs_population_historique,2010-2011,ancien,DI,45 à 64 ans,False,14,Lanaudière,P04AL08C05,310
effectifs_population_historique,2010-2011,ancien,DI,5 à 17 ans,False,14,Lanaudière,P04AL08C02,249
effectifs_population_historique,2010-2011,ancien,DI,65 ans et plus,False,14,Lanaudière,P04AL08C06,40
effectifs_population_historique,2010-2011,ancien,DI,Total,True,14,Lanaudière,P04AL08C07,1144
effectifs_population_historique,2010-2011,ancien,DI,0 à 4 ans,False,15,Laurentides,P04AL08C01,57
effectifs_population_historique,2010-2011,ancien,DI,18 à 21 ans,False,15,Laurentides,P04AL08C03,112
effectifs_population_historique,2010-2011,ancien,DI,22 à 44 ans,False,15,Laurentides,P04AL08C04,467
effectifs_population_historique,2010-2011,ancien,DI,45 à 64 ans,False,15,Laurentides,P04AL08C05,426
effectifs_population_historique,2010-2011,ancien,DI,5 à 17 ans,False,15,Laurentides,P04AL08C02,234
effectifs_population_historique,2010-2011,ancien,DI,65 ans et plus,False,15,Laurentides,P04AL08C06,51
effectifs_population_historique,2010-2011,ancien,DI,Total,True,15,Laurentides,P04AL08C07,1347
effectifs_population_historique,2010-2011,ancien,DI,0 à 4 ans,False,16,Montérégie,P04AL08C01,123
effectifs_population_historique,2010-2011,ancien,DI,18 à 21 ans,False,16,Montérégie,P04AL08C03,323
effectifs_population_historique,2010-2011,ancien,DI,22 à 44 ans,False,16,Montérégie,P04AL08C04,1476
effectifs_population_historique,2010-2011,ancien,DI,45 à 64 ans,False,16,Montérégie,P04AL08C05,1121
effectifs_population_historique,2010-2011,ancien,DI,5 à 17 ans,False,16,Montérégie,P04AL08C02,634
effectifs_population_historique,2010-2011,ancien,DI,65 ans et plus,False,16,Montérégie,P04AL08C06,94
effectifs_population_historique,2010-2011,ancien,DI,Total,True,16,Montérégie,P04AL08C07,3771
effectifs_population_historique,2011-2012,ancien,DI,0 à 4 ans,False,1,Bas-Saint-Laurent,P04AL08C01,39
effectifs_population_historique,2011-2012,ancien,DI,18 à 21 ans,False,1,Bas-Saint-Laurent,P04AL08C03,46
effectifs_population_historique,2011-2012,ancien,DI,22 à 44 ans,False,1,Bas-Saint-Laurent,P04AL08C04,257
effectifs_population_historique,2011-2012,ancien,DI,45 à 64 ans,False,1,Bas-Saint-Laurent,P04AL08C05,319
effectifs_population_historique,2011-2012,ancien,DI,5 à 17 ans,False,1,Bas-Saint-Laurent,P04AL08C02,137
effectifs_population_historique,2011-2012,ancien,DI,65 ans et plus,False,1,Bas-Saint-Laurent,P04AL08C06,48
effectifs_population_historique,2011-2012,ancien,DI,Total,True,1,Bas-Saint-Laurent,P04AL08C07,846
effectifs_population_historique,2011-2012,ancien,DI,0 à 4 ans,False,2,Saguenay–Lac-Saint-Jean,P04AL08C01,51
effectifs_population_historique,2011-2012,ancien,DI,18 à 21 ans,False,2,Saguenay–Lac-Saint-Jean,P04AL08C03,79
effectifs_population_historique,2011-2012,ancien,DI,22 à 44 ans,False,2,Saguenay–Lac-Saint-Jean,P04AL08C04,403
effectifs_population_historique,2011-2012,ancien,DI,45 à 64 ans,False,2,Saguenay–Lac-Saint-Jean,P04AL08C05,432
effectifs_population_historique,2011-2012,ancien,DI,5 à 17 ans,False,2,Saguenay–Lac-Saint-Jean,P04AL08C02,233
effectifs_population_historique,2011-2012,ancien,DI,65 ans et plus,False,2,Saguenay–Lac-Saint-Jean,P04AL08C06,90
effectifs_population_historique,2011-2012,ancien,DI,Total,True,2,Saguenay–Lac-Saint-Jean,P04AL08C07,1288
effectifs_population_historique,2011-2012,ancien,DI,0 à 4 ans,False,3,Capitale-Nationale,P04AL08C01,64
effectifs_population_historique,2011-2012,ancien,DI,18 à 21 ans,False,3,Capitale-Nationale,P04AL08C03,134
effectifs_population_historique,2011-2012,ancien,DI,22 à 44 ans,False,3,Capitale-Nationale,P04AL08C04,742
effectifs_population_historique,2011-2012,ancien,DI,45 à 64 ans,False,3,Capitale-Nationale,P04AL08C05,842
effectifs_population_historique,2011-2012,ancien,DI,5 à 17 ans,False,3,Capitale-Nationale,P04AL08C02,283
effectifs_population_historique,2011-2012,ancien,DI,65 ans et plus,False,3,Capitale-Nationale,P04AL08C06,291
effectifs_population_historique,2011-2012,ancien,DI,Total,True,3,Capitale-Nationale,P04AL08C07,2356
effectifs_population_historique,2011-2012,ancien,DI,0 à 4 ans,False,4,Mauricie et Centre-du-Québec,P04AL08C01,61
effectifs_population_historique,2011-2012,ancien,DI,18 à 21 ans,False,4,Mauricie et Centre-du-Québec,P04AL08C03,122
effectifs_population_historique,2011-2012,ancien,DI,22 à 44 ans,False,4,Mauricie et Centre-du-Québec,P04AL08C04,606
effectifs_population_historique,2011-2012,ancien,DI,45 à 64 ans,False,4,Mauricie et Centre-du-Québec,P04AL08C05,609
effectifs_population_historique,2011-2012,ancien,DI,5 à 17 ans,False,4,Mauricie et Centre-du-Québec,P04AL08C02,216
effectifs_population_historique,2011-2012,ancien,DI,65 ans et plus,False,4,Mauricie et Centre-du-Québec,P04AL08C06,169
effectifs_population_historique,2011-2012,ancien,DI,Total,True,4,Mauricie et Centre-du-Québec,P04AL08C07,1783
effectifs_population_historique,2011-2012,ancien,DI,0 à 4 ans,False,5,Estrie,P04AL08C01,21
effectifs_population_historique,2011-2012,ancien,DI,18 à 21 ans,False,5,Estrie,P04AL08C03,56
effectifs_population_historique,2011-2012,ancien,DI,22 à 44 ans,False,5,Estrie,P04AL08C04,371
effectifs_population_historique,2011-2012,ancien,DI,45 à 64 ans,False,5,Estrie,P04AL08C05,394
effectifs_population_historique,2011-2012,ancien,DI,5 à 17 ans,False,5,Estrie,P04AL08C02,131
effectifs_population_historique,2011-2012,ancien,DI,65 ans et plus,False,5,Estrie,P04AL08C06,60
effectifs_population_historique,2011-2012,ancien,DI,Total,True,5,Estrie,P04AL08C07,1033
effectifs_population_historique,2011-2012,ancien,DI,0 à 4 ans,False,6,Montréal,P04AL08C01,245
effectifs_population_historique,2011-2012,ancien,DI,18 à 21 ans,False,6,Montréal,P04AL08C03,341
effectifs_population_historique,2011-2012,ancien,DI,22 à 44 ans,False,6,Montréal,P04AL08C04,1858
effectifs_population_historique,2011-2012,ancien,DI,45 à 64 ans,False,6,Montréal,P04AL08C05,1797
effectifs_population_historique,2011-2012,ancien,DI,5 à 17 ans,False,6,Montréal,P04AL08C02,849
effectifs_population_historique,2011-2012,ancien,DI,65 ans et plus,False,6,Montréal,P04AL08C06,221
effectifs_population_historique,2011-2012,ancien,DI,Total,True,6,Montréal,P04AL08C07,5311
effectifs_population_historique,2011-2012,ancien,DI,0 à 4 ans,False,7,Outaouais,P04AL08C01,39
effectifs_population_historique,2011-2012,ancien,DI,18 à 21 ans,False,7,Outaouais,P04AL08C03,71
effectifs_population_historique,2011-2012,ancien,DI,22 à 44 ans,False,7,Outaouais,P04AL08C04,299
effectifs_population_historique,2011-2012,ancien,DI,45 à 64 ans,False,7,Outaouais,P04AL08C05,231
effectifs_population_historique,2011-2012,ancien,DI,5 à 17 ans,False,7,Outaouais,P04AL08C02,202
effectifs_population_historique,2011-2012,ancien,DI,65 ans et plus,False,7,Outaouais,P04AL08C06,29
effectifs_population_historique,2011-2012,ancien,DI,Total,True,7,Outaouais,P04AL08C07,871
effectifs_population_historique,2011-2012,ancien,DI,0 à 4 ans,False,8,Abitibi-Témiscamingue,P04AL08C01,34
effectifs_population_historique,2011-2012,ancien,DI,18 à 21 ans,False,8,Abitibi-Témiscamingue,P04AL08C03,46
effectifs_population_historique,2011-2012,ancien,DI,22 à 44 ans,False,8,Abitibi-Témiscamingue,P04AL08C04,212
effectifs_population_historique,2011-2012,ancien,DI,45 à 64 ans,False,8,Abitibi-Témiscamingue,P04AL08C05,146
effectifs_population_historique,2011-2012,ancien,DI,5 à 17 ans,False,8,Abitibi-Témiscamingue,P04AL08C02,150
effectifs_population_historique,2011-2012,ancien,DI,65 ans et plus,False,8,Abitibi-Témiscamingue,P04AL08C06,24
effectifs_population_historique,2011-2012,ancien,DI,Total,True,8,Abitibi-Témiscamingue,P04AL08C07,612
effectifs_population_historique,2011-2012,ancien,DI,0 à 4 ans,False,9,Côte-Nord,P04AL08C01,31
effectifs_population_historique,2011-2012,ancien,DI,18 à 21 ans,False,9,Côte-Nord,P04AL08C03,20
effectifs_population_historique,2011-2012,ancien,DI,22 à 44 ans,False,9,Côte-Nord,P04AL08C04,94
effectifs_population_historique,2011-2012,ancien,DI,45 à 64 ans,False,9,Côte-Nord,P04AL08C05,123
effectifs_population_historique,2011-2012,ancien,DI,5 à 17 ans,False,9,Côte-Nord,P04AL08C02,37
effectifs_population_historique,2011-2012,ancien,DI,65 ans et plus,False,9,Côte-Nord,P04AL08C06,11
effectifs_population_historique,2011-2012,ancien,DI,Total,True,9,Côte-Nord,P04AL08C07,316
effectifs_population_historique,2011-2012,ancien,DI,0 à 4 ans,False,11,Gaspésie–Îles-de-la-Madeleine,P04AL08C01,3
effectifs_population_historique,2011-2012,ancien,DI,18 à 21 ans,False,11,Gaspésie–Îles-de-la-Madeleine,P04AL08C03,28
effectifs_population_historique,2011-2012,ancien,DI,22 à 44 ans,False,11,Gaspésie–Îles-de-la-Madeleine,P04AL08C04,138
effectifs_population_historique,2011-2012,ancien,DI,45 à 64 ans,False,11,Gaspésie–Îles-de-la-Madeleine,P04AL08C05,161
effectifs_population_historique,2011-2012,ancien,DI,5 à 17 ans,False,11,Gaspésie–Îles-de-la-Madeleine,P04AL08C02,59
effectifs_population_historique,2011-2012,ancien,DI,65 ans et plus,False,11,Gaspésie–Îles-de-la-Madeleine,P04AL08C06,50
effectifs_population_historique,2011-2012,ancien,DI,Total,True,11,Gaspésie–Îles-de-la-Madeleine,P04AL08C07,439
effectifs_population_historique,2011-2012,ancien,DI,0 à 4 ans,False,12,Chaudière-Appalaches,P04AL08C01,55
effectifs_population_historique,2011-2012,ancien,DI,18 à 21 ans,False,12,Chaudière-Appalaches,P04AL08C03,81
effectifs_population_historique,2011-2012,ancien,DI,22 à 44 ans,False,12,Chaudière-Appalaches,P04AL08C04,493
effectifs_population_historique,2011-2012,ancien,DI,45 à 64 ans,False,12,Chaudière-Appalaches,P04AL08C05,488
effectifs_population_historique,2011-2012,ancien,DI,5 à 17 ans,False,12,Chaudière-Appalaches,P04AL08C02,156
effectifs_population_historique,2011-2012,ancien,DI,65 ans et plus,False,12,Chaudière-Appalaches,P04AL08C06,88
effectifs_population_historique,2011-2012,ancien,DI,Total,True,12,Chaudière-Appalaches,P04AL08C07,1361
effectifs_population_historique,2011-2012,ancien,DI,0 à 4 ans,False,13,Laval,P04AL08C01,162
effectifs_population_historique,2011-2012,ancien,DI,18 à 21 ans,False,13,Laval,P04AL08C03,103
effectifs_population_historique,2011-2012,ancien,DI,22 à 44 ans,False,13,Laval,P04AL08C04,369
effectifs_population_historique,2011-2012,ancien,DI,45 à 64 ans,False,13,Laval,P04AL08C05,229
effectifs_population_historique,2011-2012,ancien,DI,5 à 17 ans,False,13,Laval,P04AL08C02,226
effectifs_population_historique,2011-2012,ancien,DI,65 ans et plus,False,13,Laval,P04AL08C06,32
effectifs_population_historique,2011-2012,ancien,DI,Total,True,13,Laval,P04AL08C07,1121
effectifs_population_historique,2011-2012,ancien,DI,0 à 4 ans,False,14,Lanaudière,P04AL08C01,43
effectifs_population_historique,2011-2012,ancien,DI,18 à 21 ans,False,14,Lanaudière,P04AL08C03,112
effectifs_population_historique,2011-2012,ancien,DI,22 à 44 ans,False,14,Lanaudière,P04AL08C04,354
effectifs_population_historique,2011-2012,ancien,DI,45 à 64 ans,False,14,Lanaudière,P04AL08C05,309
effectifs_population_historique,2011-2012,ancien,DI,5 à 17 ans,False,14,Lanaudière,P04AL08C02,203
effectifs_population_historique,2011-2012,ancien,DI,65 ans et plus,False,14,Lanaudière,P04AL08C06,44
effectifs_population_historique,2011-2012,ancien,DI,Total,True,14,Lanaudière,P04AL08C07,1065
effectifs_population_historique,2011-2012,ancien,DI,0 à 4 ans,False,15,Laurentides,P04AL08C01,56
effectifs_population_historique,2011-2012,ancien,DI,18 à 21 ans,False,15,Laurentides,P04AL08C03,103
effectifs_population_historique,2011-2012,ancien,DI,22 à 44 ans,False,15,Laurentides,P04AL08C04,447
effectifs_population_historique,2011-2012,ancien,DI,45 à 64 ans,False,15,Laurentides,P04AL08C05,424
effectifs_population_historique,2011-2012,ancien,DI,5 à 17 ans,False,15,Laurentides,P04AL08C02,223
effectifs_population_historique,2011-2012,ancien,DI,65 ans et plus,False,15,Laurentides,P04AL08C06,51
effectifs_population_historique,2011-2012,ancien,DI,Total,True,15,Laurentides,P04AL08C07,1304
effectifs_population_historique,2011-2012,ancien,DI,0 à 4 ans,False,16,Montérégie,P04AL08C01,111
effectifs_population_historique,2011-2012,ancien,DI,18 à 21 ans,False,16,Montérégie,P04AL08C03,331
effectifs_population_historique,2011-2012,ancien,DI,22 à 44 ans,False,16,Montérégie,P04AL08C04,1468
effectifs_population_historique,2011-2012,ancien,DI,45 à 64 ans,False,16,Montérégie,P04AL08C05,1141
effectifs_population_historique,2011-2012,ancien,DI,5 à 17 ans,False,16,Montérégie,P04AL08C02,608
effectifs_population_historique,2011-2012,ancien,DI,65 ans et plus,False,16,Montérégie,P04AL08C06,109
effectifs_population_historique,2011-2012,ancien,DI,Total,True,16,Montérégie,P04AL08C07,3768
effectifs_population_historique,2012-2013,ancien,DI,0 à 4 ans,False,1,Bas-Saint-Laurent,P04AL08C01,35
effectifs_population_historique,2012-2013,ancien,DI,18 à 21 ans,False,1,Bas-Saint-Laurent,P04AL08C03,51
effectifs_population_historique,2012-2013,ancien,DI,22 à 44 ans,False,1,Bas-Saint-Laurent,P04AL08C04,239
effectifs_population_historique,2012-2013,ancien,DI,45 à 64 ans,False,1,Bas-Saint-Laurent,P04AL08C05,327
effectifs_population_historique,2012-2013,ancien,DI,5 à 17 ans,False,1,Bas-Saint-Laurent,P04AL08C02,130
effectifs_population_historique,2012-2013,ancien,DI,65 ans et plus,False,1,Bas-Saint-Laurent,P04AL08C06,51
effectifs_population_historique,2012-2013,ancien,DI,Total,True,1,Bas-Saint-Laurent,P04AL08C07,833
effectifs_population_historique,2012-2013,ancien,DI,0 à 4 ans,False,2,Saguenay–Lac-Saint-Jean,P04AL08C01,54
effectifs_population_historique,2012-2013,ancien,DI,18 à 21 ans,False,2,Saguenay–Lac-Saint-Jean,P04AL08C03,80
effectifs_population_historique,2012-2013,ancien,DI,22 à 44 ans,False,2,Saguenay–Lac-Saint-Jean,P04AL08C04,401
effectifs_population_historique,2012-2013,ancien,DI,45 à 64 ans,False,2,Saguenay–Lac-Saint-Jean,P04AL08C05,423
effectifs_population_historique,2012-2013,ancien,DI,5 à 17 ans,False,2,Saguenay–Lac-Saint-Jean,P04AL08C02,217
effectifs_population_historique,2012-2013,ancien,DI,65 ans et plus,False,2,Saguenay–Lac-Saint-Jean,P04AL08C06,92
effectifs_population_historique,2012-2013,ancien,DI,Total,True,2,Saguenay–Lac-Saint-Jean,P04AL08C07,1267
effectifs_population_historique,2012-2013,ancien,DI,0 à 4 ans,False,3,Capitale-Nationale,P04AL08C01,61
effectifs_population_historique,2012-2013,ancien,DI,18 à 21 ans,False,3,Capitale-Nationale,P04AL08C03,135
effectifs_population_historique,2012-2013,ancien,DI,22 à 44 ans,False,3,Capitale-Nationale,P04AL08C04,738
effectifs_population_historique,2012-2013,ancien,DI,45 à 64 ans,False,3,Capitale-Nationale,P04AL08C05,815
effectifs_population_historique,2012-2013,ancien,DI,5 à 17 ans,False,3,Capitale-Nationale,P04AL08C02,263
effectifs_population_historique,2012-2013,ancien,DI,65 ans et plus,False,3,Capitale-Nationale,P04AL08C06,307
effectifs_population_historique,2012-2013,ancien,DI,Total,True,3,Capitale-Nationale,P04AL08C07,2319
effectifs_population_historique,2012-2013,ancien,DI,0 à 4 ans,False,4,Mauricie et Centre-du-Québec,P04AL08C01,61
effectifs_population_historique,2012-2013,ancien,DI,18 à 21 ans,False,4,Mauricie et Centre-du-Québec,P04AL08C03,132
effectifs_population_historique,2012-2013,ancien,DI,22 à 44 ans,False,4,Mauricie et Centre-du-Québec,P04AL08C04,604
effectifs_population_historique,2012-2013,ancien,DI,45 à 64 ans,False,4,Mauricie et Centre-du-Québec,P04AL08C05,621
effectifs_population_historique,2012-2013,ancien,DI,5 à 17 ans,False,4,Mauricie et Centre-du-Québec,P04AL08C02,226
effectifs_population_historique,2012-2013,ancien,DI,65 ans et plus,False,4,Mauricie et Centre-du-Québec,P04AL08C06,170
effectifs_population_historique,2012-2013,ancien,DI,Total,True,4,Mauricie et Centre-du-Québec,P04AL08C07,1814
effectifs_population_historique,2012-2013,ancien,DI,0 à 4 ans,False,5,Estrie,P04AL08C01,32
