exercice,epoque,statut,lignes_lues,lignes_retenues,valeurs_non_numeriques,total_effectifs_hors_total
2010-2011,ancien,OK,40938,327,0,32367
2011-2012,ancien,OK,34696,279,0,33287
2012-2013,ancien,OK,32825,281,0,33776
2013-2014,nouveau,OK,25261,372,0,32976
2014-2015,nouveau,OK,26605,378,0,33007
2015-2016,nouveau,OK,29888,371,0,32927
2016-2017,nouveau,OK,29568,366,0,33499
2017-2018,nouveau,OK,28396,363,0,35218
2018-2019,nouveau,OK,24777,322,0,36040
2019-2020,nouveau,OK,26117,324,0,37413
2020-2021,nouveau,OK,23869,317,0,34998
2021-2022,nouveau,OK,24519,320,0,35638
2022-2023,nouveau,OK,23987,310,0,36231
