fichier,exercice,statut,n_services,n_regions,n_lignes_long,somme_montants,ecart_total_vs_total_source,valeurs_non_numeriques
SAD-par-Ca-201314.xlsx,2013-2014,OK,16,18,245,1264451329.77,0.0,0
01-Contour-Financier-SAD-par-CA-2014-15.xlsx,2014-2015,OK,17,18,244,1338702459.18,0.0,0
Depenses_de_services_a_domicile_par_centre_d-activites_et_par_region_1516.xlsx,2015-2016,OK,17,18,246,1335553620.64,0.0,0
depenses-de-services-a-domicile-par-CA-et-par-region-1617.xlsx,2016-2017,OK,17,18,245,1392053890.71,0.0,0
depenses-de-services-a-domicile-par-CA-et-par-region-1718.xlsx,2017-2018,OK,17,18,245,1525163863.6,0.0,0
depenses-de-services-a-domicile-par-CA-et-par-region-1819.xlsx,2018-2019,OK,17,18,247,1680933454.47,0.0,0
depenses-de-services-a-domicile-par-CA-et-par-region-1920.xlsx,2019-2020,OK,16,18,248,1898573419.66,0.0,0
depenses-de-services-a-domicile-par-CA-et-par-region-2021.xlsx,2020-2021,OK,17,18,249,2074008315.45,0.0,0
depenses-de-services-a-domicile-par-CA-et-par-region-2022.xlsx,2021-2022,OK,17,18,247,2373409494.48,0.0,0
depenses-services-a-domicile-par-ca-et-region-2023.xlsx,2022-2023,OK,17,18,245,2900629925.3,0.0,0
depenses-services-a-domicile-par-ca-et-region-2324.xlsx,2023-2024,OK,18,18,254,3280356444.37,0.0,0
