jeu,exercice,rss,region_nom,sad_service,sad_ca_code,montant
sad_par_service,2013-2014,1,Bas-Saint-Laurent,Activités de soutien,,6059614.4
sad_par_service,2013-2014,1,Bas-Saint-Laurent,Aide à domicile (Allocations),6530,3062230.0
sad_par_service,2013-2014,1,Bas-Saint-Laurent,Aide à domicile (CLSC),6530,6782982.0
sad_par_service,2013-2014,1,Bas-Saint-Laurent,Ergothérapie à domicile,7161,1810717.0
sad_par_service,2013-2014,1,Bas-Saint-Laurent,Gestion et soutien des services de maintien à domicile,7151,2173104.0
sad_par_service,2013-2014,1,Bas-Saint-Laurent,Inhalothérapie à domicile,6351,369374.0
sad_par_service,2013-2014,1,Bas-Saint-Laurent,Intervention communautaire - Services de maintien à domicile,7120,33970.0
sad_par_service,2013-2014,1,Bas-Saint-Laurent,Nutrition à domicile,7111,59024.0
sad_par_service,2013-2014,1,Bas-Saint-Laurent,Organismes communautaires à domicile,,3039882.0
sad_par_service,2013-2014,1,Bas-Saint-Laurent,Physiothérapie à domicile,7162,1414345.0
sad_par_service,2013-2014,1,Bas-Saint-Laurent,Prêt d'équipement aux usagers des services à domicile,7163,316203.0
sad_par_service,2013-2014,1,Bas-Saint-Laurent,Services psychosociaux à domicile,6561,3381406.0
sad_par_service,2013-2014,1,Bas-Saint-Laurent,Soins infirmiers à domicile,6170,9986969.0
sad_par_service,2013-2014,1,Bas-Saint-Laurent,Soutien aux familles de personnes handicapées - Allocations,7080,551816.0
sad_par_service,2013-2014,2,Saguenay–Lac-Saint-Jean,Activités de soutien,,7934442.26
sad_par_service,2013-2014,2,Saguenay–Lac-Saint-Jean,Aide à domicile (Allocations),6530,3744869.0
sad_par_service,2013-2014,2,Saguenay–Lac-Saint-Jean,Aide à domicile (CLSC),6530,6085185.0
sad_par_service,2013-2014,2,Saguenay–Lac-Saint-Jean,Ergothérapie à domicile,7161,2316423.0
sad_par_service,2013-2014,2,Saguenay–Lac-Saint-Jean,Gestion et soutien des services de maintien à domicile,7151,2066515.0
sad_par_service,2013-2014,2,Saguenay–Lac-Saint-Jean,Hémodialyse à domicile,6793,56739.0
sad_par_service,2013-2014,2,Saguenay–Lac-Saint-Jean,Inhalothérapie à domicile,6351,194973.0
sad_par_service,2013-2014,2,Saguenay–Lac-Saint-Jean,Nutrition à domicile,7111,718326.0
sad_par_service,2013-2014,2,Saguenay–Lac-Saint-Jean,Organismes communautaires à domicile,,2962941.0
sad_par_service,2013-2014,2,Saguenay–Lac-Saint-Jean,Physiothérapie à domicile,7162,2503284.0
sad_par_service,2013-2014,2,Saguenay–Lac-Saint-Jean,Prêt d'équipement aux usagers des services à domicile,7163,45158.0
sad_par_service,2013-2014,2,Saguenay–Lac-Saint-Jean,Services psychosociaux à domicile,6561,7029215.0
sad_par_service,2013-2014,2,Saguenay–Lac-Saint-Jean,Soins infirmiers à domicile,6170,12501605.0
sad_par_service,2013-2014,2,Saguenay–Lac-Saint-Jean,Soutien aux familles de personnes handicapées - Allocations,7080,992260.0
sad_par_service,2013-2014,3,Capitale-Nationale,Activités de soutien,,18481948.56
sad_par_service,2013-2014,3,Capitale-Nationale,Aide à domicile (Allocations),6530,8727874.0
sad_par_service,2013-2014,3,Capitale-Nationale,Aide à domicile (CLSC),6530,15489198.0
sad_par_service,2013-2014,3,Capitale-Nationale,Ergothérapie à domicile,7161,6067648.0
sad_par_service,2013-2014,3,Capitale-Nationale,Gestion et soutien des services de maintien à domicile,7151,8032658.0
sad_par_service,2013-2014,3,Capitale-Nationale,Hémodialyse à domicile,6793,362400.0
sad_par_service,2013-2014,3,Capitale-Nationale,Intervention communautaire - Services de maintien à domicile,7120,597323.0
sad_par_service,2013-2014,3,Capitale-Nationale,Nutrition parentérale totale à domicile,6250,1361745.0
sad_par_service,2013-2014,3,Capitale-Nationale,Nutrition à domicile,7111,886979.0
sad_par_service,2013-2014,3,Capitale-Nationale,Organismes communautaires à domicile,,3260558.0
sad_par_service,2013-2014,3,Capitale-Nationale,Physiothérapie à domicile,7162,3009750.0
sad_par_service,2013-2014,3,Capitale-Nationale,Services psychosociaux à domicile,6561,15738476.0
sad_par_service,2013-2014,3,Capitale-Nationale,Soins infirmiers à domicile,6170,26575065.0
sad_par_service,2013-2014,3,Capitale-Nationale,Soutien aux familles de personnes handicapées - Allocations,7080,8668002.0
sad_par_service,2013-2014,4,Mauricie et Centre-du-Québec,Activités de soutien,,14038291.33
sad_par_service,2013-2014,4,Mauricie et Centre-du-Québec,Aide à domicile (Allocations),6530,9244488.0
