Annee,NomEtablissement,Ligne,Colonne,Chiffre
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,1,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,1,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,1,3,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,1,4,2.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,2,1,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,2,2,70.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,2,3,3.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,2,4,68.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,3,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,3,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,3,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,3,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,4,1,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,4,2,182.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,4,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,4,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,5,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,5,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,5,3,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,5,4,296.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,6,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,6,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,6,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,6,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,7,1,2.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,7,3,5.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,8,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,8,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,8,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,8,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,9,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,9,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,9,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,9,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,10,1,2.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,10,2,81.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,10,3,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,10,4,443.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,11,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,11,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,11,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,11,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,12,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,12,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,12,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,12,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,13,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,13,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,13,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,13,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,14,1,2.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,14,3,1.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,2,1,1.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,2,2,36.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,2,3,2.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,2,4,234.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,3,1,2.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,3,2,38.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,4,1,3.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,4,2,246.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,4,3,2.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,4,4,486.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,5,1,3.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,5,2,47.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,5,3,6.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,5,4,108.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,7,1,9.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,7,3,10.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,9,3,3.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,9,4,38.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,11,3,1.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,11,4,199.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,14,3,4.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,1,1,34.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,1,2,208.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,1,3,22.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,1,4,265.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,2,1,90.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,2,2,756.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,2,3,74.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,2,4,903.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,3,1,8.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,3,2,419.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,3,3,19.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,3,4,761.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,4,1,11.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,4,2,635.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,4,3,17.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,4,4,735.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,5,1,6.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,5,2,654.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,5,3,3.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,5,4,1028.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,6,1,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,6,2,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,6,3,1.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,6,4,111.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,7,1,149.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,7,3,136.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,8,1,73.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,8,2,320.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,8,3,71.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,8,4,353.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,9,1,110.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,9,2,835.0
